test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,rps,min,mean,max,50_percent,75_percent,95_percent,99_percent,std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,minimal_api,00:01:00,global information,12000,12000,0,200,0.12,0.49,16.97,0.46,0.54,0.72,1.05,0.33,0.453,0.467,0.485,5.5
nbomber_default_test_suite_name,nbomber_default_test_name,controller,00:01:00,global information,12000,12000,0,200,0.13,0.5,8.76,0.48,0.56,0.74,1.06,0.28,0.452,0.467,0.487,5.5
