test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,rps,min,mean,max,50_percent,75_percent,95_percent,99_percent,std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,minimal_api,00:00:30,global information,3000,2972,28,99.1,0.16,0.87,9.31,0.84,1.05,1.55,2.73,0.47,0.452,0.467,0.485,1.4
nbomber_default_test_suite_name,nbomber_default_test_name,controller,00:00:30,global information,3000,3000,0,100,0.16,0.88,9.52,0.86,1.07,1.56,2.42,0.46,0.452,0.467,0.484,1.4
