test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,rps,min,mean,max,50_percent,75_percent,95_percent,99_percent,std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,minimal_api,00:00:30,global information,3000,2971,29,99,0.2,1.03,11.19,0.93,1.14,1.61,3.89,0.79,0.453,0.467,0.484,1.4
nbomber_default_test_suite_name,nbomber_default_test_name,controller,00:00:30,global information,3000,3000,0,100,0.23,1.05,12.17,0.95,1.16,1.68,3.92,0.82,0.452,0.467,0.483,1.4
