test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,rps,min,mean,max,50_percent,75_percent,95_percent,99_percent,std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,minimal_api,00:00:20,global information,2023,2023,0,101.2,10.09,105.99,201.5,106.5,153.22,190.72,199.3,54.51,0.453,0.467,0.483,0.9
nbomber_default_test_suite_name,nbomber_default_test_name,controller,00:00:20,global information,2016,2016,0,100.8,0.16,0.93,6.97,0.91,1.09,1.52,2.17,0.41,0.454,0.467,0.483,0.9
