test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,rps,min,mean,max,50_percent,75_percent,95_percent,99_percent,std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,minimal_api,00:00:30,global information,3000,3000,0,100,0.14,0.54,6.61,0.5,0.57,0.76,1.32,0.26,0.452,0.467,0.485,1.4
nbomber_default_test_suite_name,nbomber_default_test_name,controller,00:00:30,global information,3000,3000,0,100,0.16,0.56,6.6,0.53,0.6,0.8,1.35,0.24,0.452,0.467,0.485,1.4
